what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1300841011856
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1300841011868
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1300841011869
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1300841011869
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1300841011870
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1300841011891
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1300841011901
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1300841011909
started,bundle,org.eclipse.wst.web,1.1.402.v201012160000,"org.eclipse.wst.web",1300841011910
os,sysinfo,,,"macosx",1300841011914
arch,sysinfo,,,"x86_64",1300841011914
ws,sysinfo,,,"cocoa",1300841011914
locale,sysinfo,,,"en_US",1300841011914
processors,sysinfo,,,"4",1300841011914
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300841011914
java.runtime.version,sysinfo,,,"1.6.0_20-b02-279-10M3065",1300841011914
java.specification.name,sysinfo,,,"Java Platform API Specification",1300841011914
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300841011914
java.specification.version,sysinfo,,,"1.6",1300841011914
java.vendor,sysinfo,,,"Apple Inc.",1300841011914
java.version,sysinfo,,,"1.6.0_20",1300841011914
java.vm.info,sysinfo,,,"mixed mode",1300841011914
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1300841011914
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300841011914
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300841011914
java.vm.specification.version,sysinfo,,,"1.0",1300841011914
